475,Thompson,Steve,3675 Furth Circle,Burbank,CA,94019,USA
477,Moos,Hanna ,Forsterstr. 57,Mannheim,NULL,68306,Germany
480,Semenov,Alexander ,2 Pobedy Square,Saint Petersburg,NULL,196143,Russia
481,"Altagar,G M",Raanan,3 Hagalim Blv.,Herzlia,NULL,47625,Israel
484,Roel,José Pedro ,"C/ Romero, 33",Sevilla,NULL,41101,Spain
486,Salazar,Rosa,11328 Douglas Av.,Philadelphia,PA,71270,USA
487,Taylor,Sue,2793 Furth Circle,Brisbane,CA,94217,USA
489,Smith,Thomas ,120 Hanover Sq.,London,NULL,WA1 1DP,UK
495,Franco,Valarie,6251 Ingle Ln.,Boston,MA,51003,USA
496,Snowden,Tony,Arenales 1938 3'A',Auckland  ,NULL,NULL,New Zealand
